City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
572,572.0,572.0,572.0,572.0,572.0,572.0,572,572.0
572,,,,,,,125,
escanaba,,,,,,,RU,
1,,,,,,,63,
,22.73601683557694,14.295931481418561,13.394667832167842,70.45454545454545,57.49650349650349,3.863951048951048,,1647611886.2062938
,32.28334024325055,89.67040467623559,15.490506207076256,23.175482930782444,40.56973829729949,2.8518691049284044,,138.23895944262807
,-54.806115899999995,-179.4130958,-30.98,1.0,0.0,0.0,,1647611565.0
,-3.251821575,-64.3409937,2.7875,59.0,12.75,1.77,,1647611765.75
,28.2202993,18.82675355,16.314999999999998,75.0,73.5,3.185,,1647611890.5
,48.42626215,85.098535075,26.36,89.0,100.0,5.36,,1647612002.25
,78.2231558,178.6807836433052,39.36,100.0,100.0,19.31,,1647612125.0
